event_date,firm,car,group,grp,direction,z
2020-10-12,AAPL,0.03780496872322538,device,gate,0.0,
2020-10-12,GOOGL,0.01549420912096091,device,gate,0.0,
2020-10-12,AMZN,0.029431474379876362,bigtech,gate,0.0,
2020-10-12,META,0.019740255866852716,bigtech,gate,0.0,
2021-01-13,DBK.DE,3.812210525573449e-05,bank,bank,0.0,-1.5981878524090556
2021-01-13,CBK.DE,0.004695401647652581,bank,bank,0.0,-0.1969766074951668
2021-01-13,BNP.PA,0.003015610041099414,bank,bank,0.0,-1.8277916820311226
2021-01-13,GLE.PA,0.011382096123181425,bank,bank,0.0,-1.8810103807023557
2021-01-13,ACA.PA,0.003872631184454054,bank,bank,0.0,-0.430377884945561
2021-01-13,SAN.MC,0.005659754120676557,bank,bank,0.0,-0.6865870300483472
2021-01-13,BBVA.MC,-0.003361600643599697,bank,bank,0.0,-0.5472047262920654
2021-01-13,CABK.MC,0.0022506006953486174,bank,bank,0.0,0.6318798811046288
2021-01-13,SAB.MC,-0.026636449213303357,bank,bank,0.0,0.2751144903870993
2021-01-13,BKT.MC,0.013802207541442702,bank,bank,0.0,0.4179464676689923
2021-01-13,UNI.MC,-0.007569867451647283,bank,bank,0.0,0.15978485614852456
2021-01-13,ISP.MI,0.0016276724333839582,bank,bank,0.0,-0.3976038785149957
2021-01-13,UCG.MI,-0.0020463271576132555,bank,bank,0.0,-0.6729346213298831
2021-01-13,BAMI.MI,-0.004702952302633031,bank,bank,0.0,-0.5474307600897961
2021-01-13,BPE.MI,-0.0034185294714211938,bank,bank,0.0,0.4457023654474827
2021-01-13,MB.MI,-0.0009947199382546986,bank,bank,0.0,-1.913665771560751
2021-01-13,INGA.AS,-0.009642154706547447,bank,bank,0.0,0.0804612861920478
2021-01-13,ABN.AS,-0.012375843846739077,bank,bank,0.0,-0.12757135640344586
2021-01-13,KBC.BR,-0.0013117983208157102,bank,bank,0.0,0.48686960141089525
2021-01-13,EBS.VI,-0.005760394455920847,bank,bank,0.0,0.2976788742054292
2021-01-13,RBI.VI,0.001653500435175058,bank,bank,0.0,-0.1603862510250389
2021-01-13,BG.VI,-0.010126962424496351,bank,bank,0.0,-0.23359860729761434
2021-01-13,BIRG.IR,0.015089444938297643,bank,bank,0.0,1.1461139920025163
2021-01-13,A5G.IR,0.012222315201074287,bank,bank,0.0,1.6694774266625145
2021-01-13,ETE.AT,0.02329254487254835,bank,bank,0.0,1.1896462862934265
2021-01-13,EUROB.AT,0.012693991229464774,bank,bank,0.0,0.3949686796988067
2021-01-13,TPEIR.AT,0.02564264413541696,bank,bank,0.0,1.3177710426531568
2021-01-13,BCP.LS,-0.018537043826183472,bank,bank,0.0,1.9115242988785415
2021-01-13,NEXI.MI,0.012746651358553098,payments,payments,0.0,
2021-01-13,WLN.PA,0.011567538278742243,payments,payments,0.0,
2021-01-13,ADYEN.AS,0.018206240348428035,payments,payments,0.0,
2021-01-13,SWED-A.ST,0.0016989109261471218,control_bank,control_bank,0.0,-1.1418669440853995
2021-01-13,SHB-A.ST,-0.0011198625583351317,control_bank,control_bank,0.0,-1.476933828719851
2021-01-13,DANSKE.CO,0.002703741532173117,control_bank,control_bank,0.0,-2.034052437497537
2021-01-13,DNB.OL,-0.020453638770080548,control_bank,control_bank,0.0,-0.9659534405231625
2021-01-13,LLOY.L,-0.004260621780390909,control_bank,control_bank,0.0,
2021-01-13,NWG.L,-0.009877485531928807,control_bank,control_bank,0.0,
2021-01-13,UBSG.SW,-0.007287492998933132,control_bank,control_bank,0.0,
2021-01-13,MA,0.00774326721639216,payments,payments,0.0,
2021-01-13,V,0.0006396171921256753,payments,payments,0.0,
2021-01-13,AXP,0.0030658399889713726,payments,payments,0.0,
2021-01-13,PYPL,0.02986645550694931,payments,payments,0.0,
2021-01-13,GPN,-0.00846603975274836,payments,payments,0.0,
2021-01-13,AAPL,0.012537708535574524,device,gate,0.0,
2021-01-13,GOOGL,0.0034095912779160114,device,gate,0.0,
2021-01-13,AMZN,0.013323945251087169,bigtech,gate,0.0,
2021-01-13,META,-8.176745954994926e-05,bigtech,gate,0.0,
2021-02-10,DBK.DE,0.01164767342078452,bank,bank,1.0,-1.5981878524090556
2021-02-10,CBK.DE,-0.01434652468842666,bank,bank,1.0,-0.1969766074951668
2021-02-10,BNP.PA,0.02190407055232617,bank,bank,1.0,-1.8277916820311226
2021-02-10,GLE.PA,0.021983666299195508,bank,bank,1.0,-1.8810103807023557
2021-02-10,ACA.PA,0.004057844649206972,bank,bank,1.0,-0.430377884945561
2021-02-10,SAN.MC,-0.0035403738617988748,bank,bank,1.0,-0.6865870300483472
2021-02-10,BBVA.MC,-0.002711857498573984,bank,bank,1.0,-0.5472047262920654
2021-02-10,CABK.MC,0.008437411143246813,bank,bank,1.0,0.6318798811046288
2021-02-10,SAB.MC,-0.02472930879711482,bank,bank,1.0,0.2751144903870993
2021-02-10,BKT.MC,0.010661317034104417,bank,bank,1.0,0.4179464676689923
2021-02-10,UNI.MC,0.028342813992218344,bank,bank,1.0,0.15978485614852456
2021-02-10,ISP.MI,-0.005591540733901921,bank,bank,1.0,-0.3976038785149957
2021-02-10,UCG.MI,0.002611760264917458,bank,bank,1.0,-0.6729346213298831
2021-02-10,BAMI.MI,-0.0036164292668495967,bank,bank,1.0,-0.5474307600897961
2021-02-10,BPE.MI,0.013653426508122384,bank,bank,1.0,0.4457023654474827
2021-02-10,MB.MI,0.02786613637892073,bank,bank,1.0,-1.913665771560751
2021-02-10,INGA.AS,0.0009769109838222963,bank,bank,1.0,0.0804612861920478
2021-02-10,ABN.AS,-0.021441411162384856,bank,bank,1.0,-0.12757135640344586
