LEI_Code,NSA,Period,Item,Label,ASSETS_FV,ASSETS_Stages,Exposure,Financial_instruments,Amount,Fin_end_year,n_quarters,footnote
2138004FIUXU3B2MR537,PT,201909,2021201,Financial liabilities held for trading,0,0,0,0,14.50973834,0,3,
2138004FIUXU3B2MR537,PT,201909,2021202,Trading financial liabilities1,0,0,0,0,0,0,3,
2138004FIUXU3B2MR537,PT,201909,2021203,Financial liabilities designated at fair value through profit or loss,0,0,0,0,6.45920859,0,3,
2138004FIUXU3B2MR537,PT,201909,2021204,Financial liabilities measured at amortised cost,0,0,0,0,16284.90768908,0,3,
2138004FIUXU3B2MR537,PT,201909,2021205,Non-trading non-derivative financial liabilities measured at a cost-based method1,0,0,0,0,0,0,3,
2138004FIUXU3B2MR537,PT,201909,2021209,Tax liabilities,0,0,0,0,1.02640215,0,3,
2138004FIUXU3B2MR537,PT,201909,2021211,Other liabilities,0,0,0,0,701.055004,0,3,
2138004FIUXU3B2MR537,PT,201909,2021212,Liabilities included in disposal groups classified as held for sale,0,0,0,0,160.01064593,0,3,
2138004FIUXU3B2MR537,PT,201909,2021213,Haircuts for trading liabilities at fair value1,0,0,0,0,0,0,3,
2138004FIUXU3B2MR537,PT,201909,2021214,TOTAL LIABILITIES,0,0,0,0,17201.52838268,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,15.14255084,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,0,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,0,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,1391.04973777,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,0,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,564.37069445,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,31,153.52570183,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,30,1224.23728147,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,31,147.44245969,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,30,529.50147143,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,175.01103951,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,1977.47326843,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,1251.07065738,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,9502.21744296,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,2945.41286326,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,955.65661848,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,158.19955087,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,146.86038268,0,3,
2138004FIUXU3B2MR537,PT,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,16306.50944851,0,3,
2138004FIUXU3B2MR537,PT,201912,2021201,Financial liabilities held for trading,0,0,0,0,13.36827444,0,4,
2138004FIUXU3B2MR537,PT,201912,2021202,Trading financial liabilities1,0,0,0,0,0,0,4,
2138004FIUXU3B2MR537,PT,201912,2021203,Financial liabilities designated at fair value through profit or loss,0,0,0,0,6.56124545,0,4,
2138004FIUXU3B2MR537,PT,201912,2021204,Financial liabilities measured at amortised cost,0,0,0,0,15879.15595597,0,4,
2138004FIUXU3B2MR537,PT,201912,2021205,Non-trading non-derivative financial liabilities measured at a cost-based method1,0,0,0,0,0,0,4,
2138004FIUXU3B2MR537,PT,201912,2021209,Tax liabilities,0,0,0,0,1.78321057,0,4,
2138004FIUXU3B2MR537,PT,201912,2021211,Other liabilities,0,0,0,0,220.67674166,0,4,
2138004FIUXU3B2MR537,PT,201912,2021212,Liabilities included in disposal groups classified as held for sale,0,0,0,0,134.4288701,0,4,
2138004FIUXU3B2MR537,PT,201912,2021213,Haircuts for trading liabilities at fair value1,0,0,0,0,0,0,4,
2138004FIUXU3B2MR537,PT,201912,2021214,TOTAL LIABILITIES,0,0,0,0,16288.15408407,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,13.91514944,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,0,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,0,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,1291.03283467,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,0,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,247.49096877,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,31,122.50565204,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,30,522.16112988,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,31,74.26443796,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,30,589.10803391,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,216.21749974,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,1929.82727886,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,1221.9362501,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,9758.27089009,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,3056.35402959,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,1466.90678587,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,157.84699454,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,80.91927937,0,4,
2138004FIUXU3B2MR537,PT,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,15899.63235086,0,4,
2138004FIUXU3B2MR537,PT,201909,2020305,Interest expenses - (Of which deposits expenses),0,0,0,0,37.56734481,0,3,
2138004FIUXU3B2MR537,PT,201909,2020310,Gains or (-) losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss_ and of non financial assets_ net,0,0,0,0,78.15882749,0,3,
2138004FIUXU3B2MR537,PT,201909,2020311,Gains or (-) losses on financial assets and liabilities held for trading_ net,0,0,0,0,-0.52561025,0,3,
2138004FIUXU3B2MR537,PT,201909,2020312,Gains or (-) losses on financial assets and liabilities designated at fair value through profit or loss_ net,0,0,0,0,-8.58305264,0,3,
2138004FIUXU3B2MR537,PT,201912,2020305,Interest expenses - (Of which deposits expenses),0,0,0,0,45.93646083,0,4,
2138004FIUXU3B2MR537,PT,201912,2020310,Gains or (-) losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss_ and of non financial assets_ net,0,0,0,0,84.66140893,0,4,
2138004FIUXU3B2MR537,PT,201912,2020311,Gains or (-) losses on financial assets and liabilities held for trading_ net,0,0,0,0,-1.43598472,0,4,
2138004FIUXU3B2MR537,PT,201912,2020312,Gains or (-) losses on financial assets and liabilities designated at fair value through profit or loss_ net,0,0,0,0,-6.88616114,0,4,
2138005O9XJIJN4JPN90,GB,201909,2021001,"Cash, cash balances at central banks and other demand deposits",0,0,0,0,111938.085336875,0,3,
2138005O9XJIJN4JPN90,GB,201912,2021001,"Cash, cash balances at central banks and other demand deposits",0,0,0,0,107085.081007605,0,4,
2138005O9XJIJN4JPN90,GB,201909,2021201,Financial liabilities held for trading,0,0,0,0,294797.752538618,0,3,
