LEI_Code,NSA,Period,Item,Label,ASSETS_FV,ASSETS_Stages,Exposure,Financial_instruments,Amount,Fin_end_year,n_quarters,Footnote,Row,Column,Sheet
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,1792.90521534,0,2,,42,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,1345.16715925,0,2,,43,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,1191.74339445,0,2,,44,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,916.90129764,0,2,,45,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,33367.82585984,0,2,,46,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,346.57759175,0,2,,47,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,953.81506348,0,2,,48,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,96705.59054834,0,2,,49,8,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321010,Total Assets,0,0,0,0,5087.26263425,0,3,,19,5,Assets
2138009Y59EAR7H1UO97,LV,202212,2321010,Total Assets,0,0,0,0,5331.72164018,0,4,,19,9,Assets
2138009Y59EAR7H1UO97,LV,202303,2321010,Total Assets,0,0,0,0,5099.1358472,0,1,,19,13,Assets
2138009Y59EAR7H1UO97,LV,202306,2321010,Total Assets,0,0,0,0,4820.05265139,0,2,,19,17,Assets
2138009Y59EAR7H1UO97,LV,202209,2321214,TOTAL LIABILITIES,0,0,0,0,4676.31955588,0,3,,23,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,1.22192129,0,3,,31,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,0,0,3,,32,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,0,0,3,,33,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,472.77763512,0,3,,34,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,0.00676128,0,3,,35,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,82.27241805,0,3,,36,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,31,44.02311507,0,3,,37,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,30,3.20896134,0,3,,38,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,31,2.70895578,0,3,,39,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,30,163.47635834,0,3,,40,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,130.79412424,0,3,,41,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,1436.72883069,0,3,,42,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,1371.77733407,0,3,,43,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,2040.85184025,0,3,,44,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,1938.36287014,0,3,,45,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,262.34218013,0,3,,46,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,262.34218013,0,3,,47,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,24.99354209,0,3,,48,5,Liabilities
2138009Y59EAR7H1UO97,LV,202209,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,4487.8736873,0,3,,49,5,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321214,TOTAL LIABILITIES,0,0,0,0,4909.65349169,0,4,,23,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,7.65030828,0,4,,31,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,0,0,4,,32,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,0,0,4,,33,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,463.80246742,0,4,,34,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,0.00618796,0,4,,35,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,67.41587975,0,4,,36,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,31,36.37243475,0,4,,37,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,30,5.93354561,0,4,,38,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,31,5.93354561,0,4,,39,6,Liabilities
